CRUT;NSECPREV;CCLI;CTIPMOD;CMOD;NSECMOD;CTIPFV;CUSER;CIDPR;FUPGR;TUPGR
008;0135;07000020;01;00008;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0250;07000022;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0240;07000023;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0230;07000025;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0225;07000026;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0215;07000028;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0200;07000031;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0195;07000032;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0190;07000033;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0185;07000035;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0075;07000036;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0065;07000037;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0080;07000038;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0175;07000039;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
038;0125;07000040;01;00038;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0255;07000041;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0135;07000043;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0145;07000044;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0130;07000047;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0110;07000049;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0090;07000053;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0085;07000054;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0055;07000055;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0060;07000056;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0050;07000057;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0045;07000058;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0040;07000061;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0035;07000062;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0005;07000064;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0015;07000065;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0020;07000066;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0070;07000068;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0105;07000072;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
018;0010;07000078;01;00018;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
018;0020;07000080;01;00018;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
018;0025;07000081;01;00018;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
018;0060;07000085;01;00018;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
018;0075;07000087;01;00018;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
018;0126;07000094;01;00018;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
018;0095;07000096;01;00018;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
058;0095;07000110;01;00058;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0040;07000118;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0050;07000120;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0065;07000122;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0090;07000125;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0095;07000126;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0110;07000129;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0175;07000130;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0115;07000131;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0125;07000132;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0235;07000138;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0155;07000144;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0180;07000147;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0190;07000148;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0210;07000151;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0160;07000152;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0230;07000155;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0170;07000178;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0160;07000181;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0090;07000188;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0115;07000192;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0120;07000193;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0140;07000194;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0150;07000195;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0170;07000198;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0185;07000199;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0195;07000200;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0225;07000202;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0230;07000203;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0235;07000204;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0240;07000206;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0250;07000207;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0265;07000209;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0270;07000210;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0285;07000212;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0295;07000213;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0305;07000214;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0145;07000227;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0315;07000229;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0290;07000230;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0035;07000231;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0270;07000234;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0320;07000236;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0255;07000237;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0220;07000239;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0215;07000241;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0205;07000243;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0155;07000245;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0120;07000247;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0085;07000248;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
011;0080;07000249;01;00011;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0130;07000250;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0080;07000252;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0505;07000259;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0355;07000267;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0335;07000273;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0315;07000275;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0320;07000276;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0330;07000278;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0500;07000306;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0130;07000312;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0125;07000313;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0120;07000314;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0110;07000315;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0100;07000316;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0075;07000320;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0065;07000321;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
028;0100;07000331;01;00028;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0310;07000344;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0295;07000346;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0275;07000347;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0265;07000351;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
021;0180;07000354;01;00021;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0030;07000360;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0065;07000363;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0090;07000366;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0085;07000367;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0095;07000369;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0230;07000371;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0235;07000372;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0215;07000374;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0205;07000375;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0200;07000376;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0175;07000377;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0170;07000378;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0165;07000379;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0180;07000380;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0185;07000381;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0195;07000383;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0255;07000388;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0275;07000390;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0280;07000391;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0115;07000392;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0125;07000393;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0130;07000395;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0140;07000398;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0145;07000399;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0150;07000400;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
001;0240;07000401;01;00001;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0045;07000403;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0035;07000404;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
031;0050;07000405;01;00031;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0250;07000426;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0265;07000427;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0335;07000438;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0305;07000439;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0315;07000440;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0320;07000441;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0300;07000443;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0215;07000446;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0210;07000447;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0205;07000448;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0195;07000449;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0010;07000450;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0015;07000451;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0020;07000452;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0025;07000455;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0027;07000456;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0035;07000457;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0045;07000458;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0040;07000459;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0060;07000462;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0065;07000463;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0070;07000464;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0075;07000465;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0080;07000466;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0085;07000467;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0090;07000468;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0100;07000469;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0220;07000470;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0235;07000471;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0240;07000472;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0245;07000473;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0200;07000474;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0180;07000476;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0170;07000477;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0165;07000478;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0135;07000479;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0005;07000481;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0145;07000482;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0150;07000483;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0155;07000484;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0160;07000485;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0125;07000487;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0115;07000490;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
041;0120;07000491;01;00041;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
051;0175;07000524;01;00051;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
051;0240;07000533;01;00051;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
