id;cclaart;csubcla;ncorart;cequiv;tcor;tabr;cuni;cpreuni;qfaccon;qfaccon1;flagcre;fcre;fanu;frec;qprecio;qpresie;qsaldis;qsalcom;flagenv;qbot;qbot1;ccodenv;preliq;npeso;cequire;qpuntos;ctiblje;ccblje;cescom;cc01;cc02;cc03;cc04;cc05;qpisc;qcapac;qunafe;qimpcap;qpreref;crubcj;qfaccon2;qbot2;cum1;cum2;cgprnk;qprecos;ccodud1;ccodud2;flagcom;flagcop;qprecio2;qprecio3;qprecio4;qprecio5;qprecio6;qprecio7;cuser;cidpr;fupgr;tupgr;tipo_producto_id;created_at;updated_at
1;0;0;1;1;PELOTITAS CJX24BOLX110UNI;PELOTITAS CJ;9;13;24;24;-;\N;6/12/2024;6/12/2024;208.8;0;4863.08;0;*;24;24;\N;1;0;1;0;4;\N;1;1;1;\N;5;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;1;\N;N;N;183;0;0;0;0;0;ALMACEN03;PANU_01    M;6/12/2024;14:12:15;1;30/12/2024 16:44;30/12/2024 16:44
47038;0;0;2;2;PANETON W.1BOL+1U.TAZA+2U.ABUE;2;9;\N;1;1;1;12/09/2024;26/12/2024;26/12/2024;20;0;101076;0;*;0.01;1;\N;1;0;2;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.03;2;\N;N;N;20;0;0;0;0;0;ALMACEN03;PANU_01    M;26/12/2024;14:17:11;1;30/12/2024 16:45;30/12/2024 16:45
2;0;0;3;3;MINISAURIOS CJX30DISX24UNI;DINOSAURIOS;9;11;30;30;-;\N;19/11/2024;9/12/2024;315;0;999.2;0;*;24;24;\N;1;0;3;0;4;\N;1;1;1;\N;5;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;3;\N;N;N;274;0;0;0;0;0;ALMACEN03;PANU_01    M;9/12/2024;14:37:23;1;30/12/2024 16:44;30/12/2024 16:44
3;0;0;4;4;PIRATAS CJX30DISX24UNI;PIRATAS CJX2;9;11;30;30;-;\N;15/05/2023;17/05/2023;315;0;100.06;0;*;24;24;\N;1;0;4;0;4;\N;1;1;1;\N;5;1;0;0;0;0;0;\N;30;24;1;1;1;0.008;4;\N;N;N;274;0;0;0;0;0;SISTEMA2;FMUEV01    M;9/07/2024;10:41:40;1;30/12/2024 16:44;30/12/2024 16:44
4;0;0;5;5;CHOCOYOGURT CJX20BOLX24UNI;CHOCOYOGURT;9;13;20;20;-;\N;6/11/2024;8/11/2024;220;0;4948.03;0;*;24;24;\N;1;0;5;0;4;\N;1;1;1;\N;5;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;5;\N;N;N;192;0;0;0;0;0;ALMACEN03;PANU_01    M;8/11/2024;14:52:36;1;30/12/2024 16:44;30/12/2024 16:44
5;0;0;6;6;BURBUJITAS CJX20BOLX24UNI;BURBUJITAS C;9;13;20;20;-;\N;6/11/2024;8/11/2024;220;0;4988.08;0;*;24;24;\N;1;0;6;0;4;\N;1;1;1;\N;5;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;6;\N;N;N;192;0;0;0;0;0;ALMACEN03;PANU_01    M;8/11/2024;14:52:37;1;30/12/2024 16:44;30/12/2024 16:44
951;0;0;7;7;MINIS NIKOLO 1CJ +2 BOLSA;7;9;\N;1;1;1;11/10/2024;2/12/2024;9/11/2024;108;0;10023;0;*;0.01;1;\N;1;0;7;0;4;\N;1;1;1;\N;20;14;0;0;0;0;0;\N;1;1;1;1;1;0.008;7;\N;N;N;89.5;0;0;0;0;0;SISTEMA2;PANU_01    M;2/12/2024;10:44:04;1;30/12/2024 16:45;30/12/2024 16:45
952;0;0;8;8;BONI.2CERRITOS STD DISPLAY;8;9;\N;1;1;1;19/09/2023;19/09/2023;\N;0.01;0;75;0;*;0.01;1;\N;1;0;8;0;4;\N;1;1;1;\N;5;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;8;\N;N;N;0.01;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
472;0;0;9;9;BONIF.1 UNID PICARA;9;9;\N;1;1;1;10/01/2024;7/02/2024;\N;0.01;0;1338;0;*;0.01;1;\N;1;0;9;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;9;\N;N;N;0.01;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
484;0;0;10;10;BONI.LANYER;BON LANY;15;\N;1;1;1;18/11/2021;18/11/2021;\N;0.01;0;0;0;*;0.01;1;\N;1;0;10;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;10;\N;N;N;0.01;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
