id;crut;clin;cter;creg;ccendis;ccono;care;czon;npdv;crutdis;tdes;csisven;ncompvt;ctipmod;cdis;cuser;cidpr;fupgr;tupgr;created_at;updated_at;dia_visita;vendedor_id;empresa_id;lista_precio_id;dia
9;11;3;7;7;7;7;1;13;180;1;MONTENEGRO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;11;1;1;2
14;51;3;7;7;7;7;1;13;106;1;MANGOMARCA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;11;1;1;1
32;66;3;7;7;7;7;1;13;157;1;NORKYS LA HACIENDA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;11;1;1;4
61;49;3;7;7;7;7;1;13;183;1;CHIMU - ZARATE;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;11;1;1;6
135;127;3;7;7;7;7;1;13;279;1;MERCADOS CHARLI;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;11;1;2;3
136;128;3;7;7;7;7;1;13;100;1;CAMPOY MALECON;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;11;1;1;5
24;39;3;7;7;7;7;1;23;71;1;METRO DEL 8;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;12;1;1;4
26;7;3;7;7;7;7;1;23;84;1;JOSE CARLOS MARIATEG;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;12;1;1;2
28;47;3;7;7;7;7;1;23;63;1;HUIRACOCHA.;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;12;1;1;5
38;64;3;7;7;7;7;1;23;81;1;AYACUCHO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;12;1;1;3
44;9;3;7;7;7;7;1;23;89;1;CONSTRUCTORES.;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;12;1;1;1
82;83;3;7;7;7;7;1;23;62;1;VALLE MANTARO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;12;1;1;6
2;28;3;7;7;7;7;1;33;112;1;BAYOVAR - COMISARIA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;13;1;1;5
16;2;3;7;7;7;7;1;33;114;1;J.C.M - HUANTA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;13;1;1;1
17;12;3;7;7;7;7;1;33;111;1;RINCONADA - JICAMARC;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;13;1;1;2
19;22;3;7;7;7;7;1;33;96;1;TOTORITA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;13;1;1;3
