id,name,dia_visita,vendedor_id,empresa_id,lista_precio_id,dia
50,MANGOMARCA,Lunes,11,1,1,1
11,MONTENEGRO,Martes,11,1,1,2
87,MERCADOS CHARLI,Miércoles,11,1,2,3
63,NORKYS LA HACIENDA,Jueves,11,1,1,4
88,CAMPOY MALECON,Viernes,11,1,1,5
49,CHIMU - ZARATE,Sábado,11,1,1,6
9,CONSTRUCTORES.,Lunes,12,1,1,1
7,JOSE CARLOS MARIATEG,Martes,12,1,1,2
61,AYACUCHO,Miércoles,12,1,1,3
39,METRO DEL 8,Jueves,12,1,1,4
47,HUIRACOCHA.,Viernes,12,1,1,5
75,VALLE MANTARO,Sábado,12,1,1,6
2,J.C.M - HUANTA,Lunes,13,1,1,1
12,RINCONADA - JICAMARC,Martes,13,1,1,2
22,TOTORITA,Miércoles,13,1,1,3
32,CANTO CHICO,Jueves,13,1,1,4
28,BAYOVAR - COMISARIA,Viernes,13,1,1,5
51,CAMPOY CANDY,Sábado,13,1,1,6
3,JICAMARCA - VALLE,Lunes,14,1,1,1
13,MARIA JESUS,Martes,14,1,1,2
33,MARISCAL,Miércoles,14,1,1,3
35,SANTA ELIZABETH,Jueves,14,1,1,4
43,SAUCES,Viernes,14,1,1,5
52,BELEN HUASCAR,Sábado,14,1,1,6
127,MERCADOS-RONALD,Domingo,14,1,2,7
4,FRAGATAS,Lunes,15,1,1,1
16,ARRIBA PERÚ - 5 DE N,Martes,15,1,1,2
24,BANCHERO - SEGURO,Miércoles,15,1,1,3
34,CERRO CAMOTE ANX 8,Jueves,15,1,1,4
66,TERRAZA DE CARAPONGO,Viernes,15,1,1,5
79,STA ANITA MUNICIPALI,Sábado,15,1,1,6
81,HORACIO BAJO,Lunes,16,1,1,1
82,HUAYCAN ZONA T-S-M-L,Miércoles,16,1,1,3
103,HUAYCAN ZONA A,Jueves,16,1,1,4
113,PORTADA DE CERES,Viernes,16,1,1,5
117,CERES - ATE,Sábado,16,1,1,6
-,HUASCATA,Domingo,16,1,1,7
123,MERCADOS-DIXON,Domingo,16,1,2,7
77,ANGEL MALA-PISCO,Lunes,17,1,2,1
96,ARCOR SUR CHICO,Martes,17,1,2,2
98,CONO SUR-ANGEL MAYRS,Miércoles,17,1,2,3
125,ANGEL CHINCHA,Jueves,17,1,2,4
14,MOTUPE - MARISCAL CA,Lunes,18,1,1,1
17,MOTUPE CIPRESES,Martes,18,1,1,2
95,STA ANITA PRADERAS H,Miércoles,18,1,1,3
36,CERRO CAMOTE - SAN P,Jueves,18,1,1,4
93,SANTA ROSA HUACHIPA,Viernes,18,1,1,5
110,SOL DE LAS VIÑAS,Sábado,18,1,1,6
128,MERCADOS PAUL LIZANA,Domingo,18,1,2,7
1,JICAMARCA,Lunes,19,1,1,1
10,JICAMARCA - MEDIA LU,Martes,19,1,1,2
68,MIGUELGRAU JUAN P.II,Miércoles,19,1,1,3
31,CASUARINAS - TERRAZA,Jueves,19,1,1,4
41,HUASCAR (52),Viernes,19,1,1,5
56,CAMPOY TOTUS,Sábado,19,1,1,6
118,MERCADOS H.JARA,Domingo,19,1,2,7
6,JICAMARCA STO DOMING,Lunes,20,1,1,1
45,BAYOVAR-ATUSPARIA,Martes,20,1,1,2
21,JUAN PABLO II,Miércoles,20,1,1,3
74,BAYOVAR 10 DE OCTUBR,Jueves,20,1,1,4
46,10 DE OCTUBRE,Viernes,20,1,1,5
20,1 SETIEMBRE-IPD-UNIO,Sábado,20,1,1,6
108,MERCADOS LEAO2,Domingo,20,1,2,7
60,VILLA HERMOSA - HUAS,Lunes,21,1,1,1
19,STA MARIA - BOLIVAR,Martes,21,1,1,2
27,SAN GABRIEL,Miércoles,21,1,1,3
38,PEDREGAL - JICAMARCA,Jueves,21,1,1,4
62,CELIMA,Viernes,21,1,1,5
57,PAJATEN - ZARATE,Sábado,21,1,1,6
73,POSTES LAS FLORES,Domingo,21,1,1,7
26,SAN CARLOS,Lunes,22,1,1,1
59,CHIMU - SODIMAC,Lunes,22,1,1,1
29,LAS FLORES - STO DOM,Martes,22,1,1,2
30,INTERMEDIO-MARISCAL,Miércoles,22,1,1,3
86,GLORIA GRANDE-SJ,Jueves,22,1,1,4
84,SAN ANTONIO DE CARAP,Viernes,22,1,1,5
-,PENAL CASTRO CASTRO,Sábado,22,1,1,6
99,ALEXANDER MERCADOS,Domingo,22,1,2,7
